"period","beta_m","se_m","ci_lo_m","ci_hi_m","ctrl_post_mean","pct_change","pct_ci_lo","pct_ci_hi","site","dow","dow_label","share_sessions","share_minutes","is_total"
"short",-0.0928898373558759,0.0110029606634302,-0.115183953323124,-0.0705957213886278,0.17155295619446,-0.541464509947486,-0.671419227498241,-0.411509792396731,"Pornhub",1,"Mon",0.145554151118592,0.145999520142517,FALSE
"long",-0.111576490564557,0.0138515525665138,-0.139642401976078,-0.083510579153035,0.172061961355734,-0.648466922528419,-0.811582065412883,-0.485351779643955,"Pornhub",1,"Mon",0.145554151118592,0.145999520142517,FALSE
"short",-0.077963950304828,0.0105552437914886,-0.099350905720577,-0.0565769948890789,0.169550893470225,-0.459826242782491,-0.585965096893011,-0.333687388671971,"Pornhub",2,"Tue",0.140944693305973,0.141382254346545,FALSE
"long",-0.0932129545239921,0.00787608683831842,-0.109171422313956,-0.0772544867340286,0.168178069381299,-0.554251543420066,-0.64914184539982,-0.459361241440312,"Pornhub",2,"Tue",0.140944693305973,0.141382254346545,FALSE
"short",-0.0843068653461885,0.00705985501134147,-0.0986114903602468,-0.0700022403321301,0.166267540102481,-0.507055467917699,-0.593089248204829,-0.42102168763057,"Pornhub",3,"Wed",0.140036552297816,0.139862255156332,FALSE
"long",-0.0943113000239382,0.00740941093779475,-0.109324192621583,-0.079298407426293,0.16297795723203,-0.578675187894692,-0.670791280479356,-0.486559095310027,"Pornhub",3,"Wed",0.140036552297816,0.139862255156332,FALSE
"short",-0.104487268363503,0.011272588959353,-0.12732770315177,-0.0816468335752372,0.17094414891708,-0.611236295745855,-0.744849729916951,-0.477622861574758,"Pornhub",4,"Thu",0.138703806259222,0.138940755681648,FALSE
"long",-0.0993713134912529,0.0106295552996044,-0.120908838324662,-0.0778337886578433,0.163337810076398,-0.60837912204635,-0.740237904916867,-0.476520339175834,"Pornhub",4,"Thu",0.138703806259222,0.138940755681648,FALSE
"short",-0.0977130187802972,0.00742862164325294,-0.112764835964551,-0.0826612015960431,0.168087360185431,-0.581322823277741,-0.670870408340944,-0.491775238214539,"Pornhub",5,"Fri",0.14031080786018,0.140378178968724,FALSE
"long",-0.0880709620603178,0.0118327993169284,-0.112046490852814,-0.0640954332678213,0.167179028766115,-0.526806278935438,-0.670218577532042,-0.383393980338834,"Pornhub",5,"Fri",0.14031080786018,0.140378178968724,FALSE
"short",-0.0846335084019488,0.00946371269161902,-0.10380881172998,-0.0654582050739174,0.17255886368578,-0.490461669683115,-0.601584928833387,-0.379338410532843,"Pornhub",6,"Sat",0.147609934548872,0.146861743428155,FALSE
"long",-0.110292720239393,0.00946465659293946,-0.129469936093166,-0.0911155043856206,0.173732161534146,-0.634843423724488,-0.745227221890745,-0.524459625558232,"Pornhub",6,"Sat",0.147609934548872,0.146861743428155,FALSE
"short",-0.0862461980966512,0.0105972652815267,-0.107718297138801,-0.0647740990545018,0.171473864090966,-0.50296993395389,-0.628190760789393,-0.377749107118386,"Pornhub",7,"Sun",0.146840054609344,0.146575292276081,FALSE
"long",-0.10133237939469,0.0125723430584117,-0.12680636614226,-0.0758583926471202,0.172536213448502,-0.587310787511491,-0.734955077590764,-0.439666497432217,"Pornhub",7,"Sun",0.146840054609344,0.146575292276081,FALSE
"short",-0.628240646649318,0.050324164999294,-0.73020709047912,-0.526274202819515,1.19043562664666,-0.527740125200226,-0.613394856583755,-0.442085393816697,"Pornhub",8,"All",NA,NA,TRUE
"long",-0.698168120297222,0.0612083858326871,-0.82218809034559,-0.574148150248854,1.18000320179558,-0.591666293137881,-0.696767677489763,-0.486564908786,"Pornhub",8,"All",NA,NA,TRUE
"short",0.028299413460423,0.013768195803196,0.000402398894478125,0.0561964280263678,0.0662143680979243,0.42739082578831,0.00607721414607504,0.848704437430544,"Xvideos",1,"Mon",0.145888818587131,0.145189723653662,FALSE
"long",0.0329487604852093,0.0101003325345617,0.0124835428295926,0.0534139781408259,0.0577827314246407,0.570218120065517,0.21604279551709,0.924393444613943,"Xvideos",1,"Mon",0.145888818587131,0.145189723653662,FALSE
"short",0.0323721838583947,0.0113164981928194,0.00944278051222162,0.0553015872045678,0.0669494678359509,0.48353160831267,0.1410433991105,0.826019817514841,"Xvideos",2,"Tue",0.142239666867762,0.14275287642941,FALSE
"long",0.0384597695527358,0.0125495986511833,0.0130318673516678,0.0638876717538037,0.0576329162921484,0.667322981849095,0.226118478641748,1.10852748505644,"Xvideos",2,"Tue",0.142239666867762,0.14275287642941,FALSE
"short",0.0354321640721381,0.00816685268366023,0.0188845487178367,0.0519797794264395,0.0649107947618492,0.545859347465008,0.290930788740487,0.800787906189529,"Xvideos",3,"Wed",0.140487436421869,0.139902728829137,FALSE
"long",0.0465781576500802,0.0149549317617399,0.0162765876293282,0.0768797276708321,0.0551707075622695,0.844255216366562,0.295022274473411,1.39348815825971,"Xvideos",3,"Wed",0.140487436421869,0.139902728829137,FALSE
"short",0.0366942613394582,0.0085362932493527,0.0193980882954135,0.0539904343835029,0.0649411112532086,0.565039011980953,0.298702746551092,0.831375277410814,"Xvideos",4,"Thu",0.139522422173501,0.138951683900813,FALSE
"long",0.0303923306919142,0.0064875235511475,0.0172473593688552,0.0435373020149731,0.0539177906119274,0.563679081560714,0.319882531778664,0.807475631342764,"Xvideos",4,"Thu",0.139522422173501,0.138951683900813,FALSE
"short",0.0312833285347308,0.00919120633385563,0.0126601755349271,0.0499064815345345,0.0662233756905376,0.472391028221184,0.191173817446097,0.753608238996272,"Xvideos",5,"Fri",0.140562234222569,0.139755404756315,FALSE
"long",0.0404343174189385,0.00975812896554551,0.0206624700556841,0.0602061647821928,0.0532381679275661,0.759498664077846,0.388113845010533,1.13088348314516,"Xvideos",5,"Fri",0.140562234222569,0.139755404756315,FALSE
"short",0.0236836004859333,0.00658799630376738,0.0103350520287762,0.0370321489430904,0.0686490387078904,0.344995369661471,0.150549115083068,0.539441624239874,"Xvideos",6,"Sat",0.146642927561396,0.147980689082284,FALSE
"long",0.051316069516588,0.0129040633226876,0.025169953669708,0.0774621853634679,0.0605474376122071,0.847534950120532,0.415706339728462,1.2793635605126,"Xvideos",6,"Sat",0.146642927561396,0.147980689082284,FALSE
"short",0.0275460372601091,0.00642509613349941,0.0145275559001751,0.040564518620043,0.0670018307324957,0.411123650786296,0.21682326798168,0.605424033590912,"Xvideos",7,"Sun",0.144656494165772,0.145466893348379,FALSE
"long",0.0305990022141818,0.00618891224421011,0.0180590748706147,0.0431389295577489,0.0584722075594344,0.523308482633895,0.3088488638343,0.73776810143349,"Xvideos",7,"Sun",0.144656494165772,0.145466893348379,FALSE
"short",0.21531098901081,0.0511651374047296,0.111640573231498,0.318981404790122,0.464889987079441,0.463143958774955,0.240144069208402,0.686143848341509,"Xvideos",8,"All",NA,NA,TRUE
"long",0.270728407529228,0.0620025852902841,0.145099236525735,0.396357578532721,0.396761958989931,0.682344668875119,0.365708539435398,0.99898079831484,"Xvideos",8,"All",NA,NA,TRUE
